# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8986606922361
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
     1.36%     0.01%  iou-wrk-68031    [kernel.vmlinux]  [k] io_read
     1.36%     0.04%  iou-wrk-68038    [kernel.vmlinux]  [k] filemap_read
     1.36%     0.00%  iou-wrk-68043    [kernel.vmlinux]  [k] io_read
     1.36%     0.00%  iou-wrk-68041    [kernel.vmlinux]  [k] io_read
     1.36%     0.00%  iou-wrk-68059    [kernel.vmlinux]  [k] io_worker_handle_work
     1.36%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] io_wq_submit_work
     1.35%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] io_issue_sqe
     1.35%     0.03%  iou-wrk-68035    [kernel.vmlinux]  [k] filemap_read
     1.35%     0.00%  iou-wrk-68060    [kernel.vmlinux]  [k] io_wq_submit_work
     1.35%     0.00%  iou-wrk-68048    [kernel.vmlinux]  [k] io_read
     1.35%     0.00%  iou-wrk-68060    [kernel.vmlinux]  [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-68060    [kernel.vmlinux]  [k] io_read
     1.34%     0.00%  iou-wrk-68032    [kernel.vmlinux]  [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-68032    [kernel.vmlinux]  [k] io_wq_submit_work
     1.34%     0.02%  iou-wrk-68045    [kernel.vmlinux]  [k] io_worker_handle_work
     1.34%     0.02%  iou-wrk-68039    [kernel.vmlinux]  [k] io_worker_handle_work
     1.34%     0.01%  iou-wrk-68032    [kernel.vmlinux]  [k] io_read
     1.33%     0.01%  iou-wrk-68054    [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] io_read
     1.33%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.00%  iou-wrk-68050    [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-68064    [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.00%  iou-wrk-68054    [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.00%  iou-wrk-68040    [kernel.vmlinux]  [k] io_issue_sqe
     1.32%     0.00%  iou-wrk-68064    [kernel.vmlinux]  [k] io_issue_sqe
     1.32%     0.00%  iou-wrk-68057    [kernel.vmlinux]  [k] io_read
     1.32%     0.01%  iou-wrk-68054    [kernel.vmlinux]  [k] io_read
     1.32%     0.01%  iou-wrk-68040    [kernel.vmlinux]  [k] io_read
     1.32%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] filemap_get_pages
     1.32%     0.01%  iou-wrk-68046    [kernel.vmlinux]  [k] io_wq_submit_work
     1.32%     0.00%  iou-wrk-68064    [kernel.vmlinux]  [k] io_read
     1.32%     0.04%  iou-wrk-68043    [kernel.vmlinux]  [k] filemap_read
     1.32%     0.00%  iou-wrk-68046    [kernel.vmlinux]  [k] io_read
     1.32%     0.00%  iou-wrk-68046    [kernel.vmlinux]  [k] io_issue_sqe
     1.31%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] io_wq_submit_work
     1.31%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] io_issue_sqe
     1.31%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] io_wq_submit_work
     1.31%     0.00%  iou-wrk-68069    [kernel.vmlinux]  [k] io_read
     1.31%     0.02%  iou-wrk-68060    [kernel.vmlinux]  [k] filemap_read
     1.31%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] io_issue_sqe
     1.30%     0.00%  iou-wrk-68067    [kernel.vmlinux]  [k] io_read
     1.30%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] io_issue_sqe
     1.30%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] io_wq_submit_work
     1.30%     0.00%  iou-wrk-68042    [kernel.vmlinux]  [k] filemap_get_pages
     1.30%     0.03%  iou-wrk-68070    [kernel.vmlinux]  [k] filemap_read
     1.30%     0.04%  iou-wrk-68041    [kernel.vmlinux]  [k] filemap_read
     1.30%     0.02%  iou-wrk-68031    [kernel.vmlinux]  [k] filemap_read
     1.30%     0.00%  iou-wrk-68033    [kernel.vmlinux]  [k] io_read
     1.30%     0.00%  iou-wrk-68059    [kernel.vmlinux]  [k] io_issue_sqe
     1.30%     0.00%  iou-wrk-68059    [kernel.vmlinux]  [k] io_wq_submit_work
     1.30%     0.02%  iou-wrk-68048    [kernel.vmlinux]  [k] filemap_read
     1.30%     0.00%  iou-wrk-68059    [kernel.vmlinux]  [k] io_read
     1.29%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] io_wq_submit_work
     1.29%     0.04%  iou-wrk-68050    [kernel.vmlinux]  [k] filemap_read
     1.29%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-68056    [kernel.vmlinux]  [k] io_read
     1.28%     0.01%  iou-wrk-68062    [kernel.vmlinux]  [k] io_worker_handle_work
     1.28%     0.00%  iou-wrk-68051    [kernel.vmlinux]  [k] filemap_get_pages
     1.28%     0.03%  iou-wrk-68064    [kernel.vmlinux]  [k] filemap_read
     1.28%     0.02%  iou-wrk-68046    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.02%  iou-wrk-68057    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.03%  iou-wrk-68032    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.04%  iou-wrk-68040    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.03%  iou-wrk-68033    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.00%  iou-wrk-68039    [kernel.vmlinux]  [k] io_wq_submit_work
     1.27%     0.02%  iou-wrk-68069    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.03%  iou-wrk-68067    [kernel.vmlinux]  [k] filemap_read
     1.27%     0.01%  iou-wrk-68045    [kernel.vmlinux]  [k] io_wq_submit_work
     1.26%     0.00%  iou-wrk-68039    [kernel.vmlinux]  [k] io_issue_sqe
