# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.01%     0.01%  iou-wrk-3088     [kernel.vmlinux]  [k] io_worker_handle_work
     1.01%     0.00%  iou-wrk-3064     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3064     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.01%  iou-wrk-3086     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.01%  iou-wrk-3073     [kernel.vmlinux]  [k] io_read
     1.01%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] io_read
     1.01%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] io_read
     1.01%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] io_issue_sqe
     1.01%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] io_wq_submit_work
     1.01%     0.01%  iou-wrk-3100     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.01%  iou-wrk-3064     [kernel.vmlinux]  [k] io_read
     1.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3089     [kernel.vmlinux]  [k] io_read
     1.00%     0.00%  iou-wrk-3089     [kernel.vmlinux]  [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3089     [kernel.vmlinux]  [k] io_wq_submit_work
     1.00%     0.01%  iou-wrk-3100     [kernel.vmlinux]  [k] io_read
     1.00%     0.01%  iou-wrk-3086     [kernel.vmlinux]  [k] io_read
     0.99%     0.00%  iou-wrk-3068     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.00%  iou-wrk-3087     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.00%  iou-wrk-3087     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.01%  iou-wrk-3094     [kernel.vmlinux]  [k] io_wq_submit_work
     0.99%     0.01%  iou-wrk-3068     [kernel.vmlinux]  [k] io_read
     0.99%     0.00%  iou-wrk-3068     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.01%  iou-wrk-3063     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.00%  iou-wrk-3063     [kernel.vmlinux]  [k] io_wq_submit_work
     0.98%     0.01%  iou-wrk-3087     [kernel.vmlinux]  [k] io_read
     0.98%     0.03%  iou-wrk-3079     [kernel.vmlinux]  [k] filemap_read
