# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2697294022688
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
     1.09%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_issue_sqe
     1.09%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wq_submit_work
     1.09%     0.01%  iou-wrk-3272     [kernel.vmlinux]            [k] io_worker_handle_work
     1.08%     0.06%  iou-wrk-3237     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_worker_handle_work
     1.07%     0.01%  iou-wrk-3267     [kernel.vmlinux]            [k] io_read
     1.07%     0.00%  iou-wrk-3267     [kernel.vmlinux]            [k] io_issue_sqe
     1.07%     0.00%  iou-wrk-3267     [kernel.vmlinux]            [k] io_wq_submit_work
     1.07%     0.04%  iou-wrk-3258     [kernel.vmlinux]            [k] filemap_read
     1.07%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_issue_sqe
     1.07%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] io_wq_submit_work
     1.07%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_issue_sqe
     1.07%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_read
     1.07%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wq_submit_work
     1.06%     0.04%  iou-wrk-3263     [kernel.vmlinux]            [k] filemap_read
     1.06%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_worker_handle_work
     1.06%     0.02%  iou-wrk-3257     [kernel.vmlinux]            [k] io_read
     1.06%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_issue_sqe
     1.06%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wq_submit_work
     1.06%     1.04%  fio              [kernel.vmlinux]            [k] available_idle_cpu
     1.06%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_read
     1.06%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_issue_sqe
