# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8473004961970
#
# Children      Self  Command          Shared Object               Symbol                                  
# ........  ........  ...............  ..........................  ........................................
#
     1.13%     0.01%  iou-wrk-3461     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.03%  iou-wrk-3470     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.00%  iou-wrk-3471     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.04%  iou-wrk-3449     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.04%  iou-wrk-3450     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.00%  iou-wrk-3462     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3462     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3448     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.04%  iou-wrk-3473     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.01%  iou-wrk-3448     [kernel.vmlinux]            [k] io_read
     1.12%     0.00%  iou-wrk-3462     [kernel.vmlinux]            [k] io_read
     1.12%     0.04%  iou-wrk-3478     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-3443     [kernel.vmlinux]            [k] io_wq_submit_work
     1.11%     0.02%  iou-wrk-3476     [kernel.vmlinux]            [k] io_worker_handle_work
     1.11%     0.01%  iou-wrk-3443     [kernel.vmlinux]            [k] io_read
     1.10%     0.04%  iou-wrk-3469     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.05%  iou-wrk-3466     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.04%  iou-wrk-3453     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.03%  iou-wrk-3447     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.05%  iou-wrk-3468     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.01%  iou-wrk-3475     [kernel.vmlinux]            [k] io_issue_sqe
     1.09%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] io_wq_submit_work
     1.09%     0.03%  iou-wrk-3458     [kernel.vmlinux]            [k] filemap_read
