# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 895K of event 'cycles'
# Event count (approx.): 94767389225873
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.14%     0.00%  iou-wrk-2940     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2941     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2943     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2950     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2999     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2941     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-2955     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2941     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-2944     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] io_read
     1.14%     0.01%  iou-wrk-2979     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2994     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2947     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2937     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_read
     1.14%     0.01%  iou-wrk-2966     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] io_read
     1.14%     0.01%  iou-wrk-2973     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-2932     [kernel.vmlinux]            [k] io_worker_handle_work
