# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2293805531353
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     0.75%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] io_wq_submit_work
     0.75%     0.02%  iou-wrk-2957     [kernel.vmlinux]  [k] io_worker_handle_work
     0.75%     0.02%  iou-wrk-2970     [kernel.vmlinux]  [k] __schedule
     0.75%     0.04%  iou-wrk-2958     [kernel.vmlinux]  [k] filemap_read
     0.74%     0.02%  iou-wrk-2948     [kernel.vmlinux]  [k] schedule_timeout
     0.74%     0.01%  iou-wrk-2972     [kernel.vmlinux]  [k] io_issue_sqe
     0.74%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] io_wq_submit_work
     0.74%     0.01%  iou-wrk-2946     [kernel.vmlinux]  [k] io_wq_submit_work
     0.74%     0.01%  iou-wrk-2952     [kernel.vmlinux]  [k] filemap_read
     0.74%     0.06%  iou-wrk-2980     [kernel.vmlinux]  [k] __schedule
     0.73%     0.01%  iou-wrk-2972     [kernel.vmlinux]  [k] io_read
     0.73%     0.02%  iou-wrk-2966     [kernel.vmlinux]  [k] filemap_read
     0.73%     0.02%  iou-wrk-2946     [kernel.vmlinux]  [k] io_issue_sqe
     0.73%     0.20%  fio              [kernel.vmlinux]  [k] put_prev_entity
     0.73%     0.08%  fio              [kernel.vmlinux]  [k] sched_clock_cpu
     0.72%     0.03%  iou-wrk-2978     [kernel.vmlinux]  [k] filemap_read
     0.72%     0.01%  iou-wrk-2956     [kernel.vmlinux]  [k] io_wq_submit_work
     0.71%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] filemap_get_pages
     0.71%     0.01%  iou-wrk-2953     [kernel.vmlinux]  [k] io_issue_sqe
     0.71%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] io_read
     0.71%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] io_wq_submit_work
     0.71%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] filemap_read
     0.71%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] io_issue_sqe
     0.71%     0.00%  iou-wrk-2956     [kernel.vmlinux]  [k] io_read
     0.71%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] io_issue_sqe
     0.71%     0.00%  iou-wrk-2949     [kernel.vmlinux]  [k] io_wq_submit_work
     0.71%     0.00%  iou-wrk-2946     [kernel.vmlinux]  [k] io_read
     0.71%     0.01%  iou-wrk-2971     [kernel.vmlinux]  [k] io_read
     0.71%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] io_issue_sqe
     0.71%     0.00%  iou-wrk-2971     [kernel.vmlinux]  [k] io_wq_submit_work
     0.70%     0.01%  iou-wrk-2982     [kernel.vmlinux]  [k] schedule_timeout
     0.70%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] io_read
     0.68%     0.01%  iou-wrk-2982     [kernel.vmlinux]  [k] io_read
     0.68%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] io_issue_sqe
     0.68%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] io_wq_submit_work
     0.68%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] schedule
