# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     0.91%     0.00%  iou-wrk-2982     [kernel.vmlinux]  [k] io_read
     0.90%     0.87%  fio              [kernel.vmlinux]  [k] __fget_files
     0.90%     0.01%  iou-wrk-2958     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] io_wq_submit_work
     0.89%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] io_read
     0.89%     0.07%  iou-wrk-2951     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-2948     [kernel.vmlinux]  [k] ret_from_fork
     0.87%     0.02%  kswapd0          [kernel.vmlinux]  [k] __remove_mapping
     0.87%     0.01%  iou-wrk-2955     [kernel.vmlinux]  [k] schedule_timeout
     0.87%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] io_worker_handle_work
     0.86%     0.86%  fio              [kernel.vmlinux]  [k] __switch_to_asm
     0.85%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] io_read
     0.85%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] io_wq_submit_work
     0.85%     0.01%  iou-wrk-2952     [kernel.vmlinux]  [k] io_worker_handle_work
     0.85%     0.03%  iou-wrk-2982     [kernel.vmlinux]  [k] filemap_read
     0.83%     0.28%  iou-wrk-2981     [kernel.vmlinux]  [k] filemap_read
     0.83%     0.01%  iou-wrk-2980     [kernel.vmlinux]  [k] io_read
     0.83%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] io_issue_sqe
     0.83%     0.00%  iou-wrk-2980     [kernel.vmlinux]  [k] io_wq_submit_work
     0.83%     0.01%  iou-wrk-2953     [kernel.vmlinux]  [k] io_read
     0.83%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] io_issue_sqe
     0.83%     0.00%  iou-wrk-2953     [kernel.vmlinux]  [k] io_wq_submit_work
     0.83%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] io_issue_sqe
     0.83%     0.00%  iou-wrk-2949     [kernel.vmlinux]  [k] io_wq_submit_work
     0.82%     0.01%  kswapd0          [kernel.vmlinux]  [k] __delete_from_page_cache
     0.82%     0.01%  iou-wrk-2957     [kernel.vmlinux]  [k] schedule_timeout
     0.82%     0.00%  iou-wrk-2949     [kernel.vmlinux]  [k] io_read
     0.80%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] io_wq_submit_work
     0.80%     0.01%  iou-wrk-2977     [kernel.vmlinux]  [k] io_read
     0.80%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] io_issue_sqe
     0.80%     0.00%  iou-wrk-2977     [kernel.vmlinux]  [k] io_wq_submit_work
     0.80%     0.01%  iou-wrk-2972     [kernel.vmlinux]  [k] io_wq_submit_work
     0.80%     0.02%  iou-wrk-2985     [kernel.vmlinux]  [k] filemap_read
     0.80%     0.06%  iou-wrk-2958     [kernel.vmlinux]  [k] filemap_read
     0.80%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] io_read
     0.80%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] io_issue_sqe
     0.80%     0.01%  iou-wrk-2955     [kernel.vmlinux]  [k] io_read
     0.80%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] io_issue_sqe
     0.80%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] io_wq_submit_work
     0.79%     0.01%  iou-wrk-2972     [kernel.vmlinux]  [k] io_read
     0.79%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] io_issue_sqe
     0.79%     0.01%  iou-wrk-2961     [kernel.vmlinux]  [k] io_worker_handle_work
     0.79%     0.03%  iou-wrk-2953     [kernel.vmlinux]  [k] filemap_read
     0.79%     0.01%  iou-wrk-2955     [kernel.vmlinux]  [k] schedule
     0.78%     0.01%  iou-wrk-2976     [kernel.vmlinux]  [k] io_wq_submit_work
     0.78%     0.04%  iou-wrk-2960     [kernel.vmlinux]  [k] filemap_read
     0.77%     0.02%  iou-wrk-2976     [kernel.vmlinux]  [k] io_issue_sqe
     0.77%     0.15%  fio              [kernel.vmlinux]  [k] put_prev_entity
