# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31570845903901
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.18%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3132     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-3069     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.01%  iou-wrk-3124     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-3068     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_issue_sqe
