# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897K of event 'cycles'
# Event count (approx.): 95051495853802
#
# Children      Self  Command          Shared Object               Symbol                                                 
# ........  ........  ...............  ..........................  .......................................................
#
     1.16%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3063     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3131     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3133     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3120     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3130     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3130     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3132     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3078     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3095     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3074     [kernel.vmlinux]            [k] io_worker_handle_work
