# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8777788382501
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.48%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] io_read
     1.48%     0.02%  iou-wrk-3370     [kernel.vmlinux]  [k] io_worker_handle_work
     1.48%     0.02%  iou-wrk-3384     [kernel.vmlinux]  [k] io_worker_handle_work
     1.48%     0.02%  iou-wrk-3374     [kernel.vmlinux]  [k] io_worker_handle_work
     1.48%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.01%  iou-wrk-3380     [kernel.vmlinux]  [k] io_read
     1.47%     0.01%  iou-wrk-3354     [kernel.vmlinux]  [k] io_worker_handle_work
     1.47%     0.00%  iou-wrk-3348     [kernel.vmlinux]  [k] io_wq_submit_work
     1.46%     0.00%  iou-wrk-3352     [kernel.vmlinux]  [k] io_wq_submit_work
     1.46%     0.01%  iou-wrk-3348     [kernel.vmlinux]  [k] io_read
     1.46%     0.00%  iou-wrk-3348     [kernel.vmlinux]  [k] io_issue_sqe
     1.46%     0.02%  iou-wrk-3363     [kernel.vmlinux]  [k] io_worker_handle_work
     1.46%     0.01%  iou-wrk-3352     [kernel.vmlinux]  [k] io_issue_sqe
     1.46%     0.00%  iou-wrk-3346     [kernel.vmlinux]  [k] io_wq_submit_work
     1.46%     0.00%  iou-wrk-3346     [kernel.vmlinux]  [k] io_issue_sqe
     1.46%     0.00%  iou-wrk-3346     [kernel.vmlinux]  [k] io_read
     1.45%     0.01%  iou-wrk-3352     [kernel.vmlinux]  [k] io_read
     1.45%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] io_wq_submit_work
     1.45%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_read
     1.45%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_issue_sqe
     1.45%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_wq_submit_work
     1.45%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] io_read
     1.45%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.02%  iou-wrk-3364     [kernel.vmlinux]  [k] filemap_read
     1.44%     0.02%  iou-wrk-3351     [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.02%  iou-wrk-3345     [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.04%  iou-wrk-3379     [kernel.vmlinux]  [k] filemap_read
     1.44%     0.02%  iou-wrk-3367     [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.01%  iou-wrk-3375     [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.02%  iou-wrk-3368     [kernel.vmlinux]  [k] io_worker_handle_work
     1.44%     0.01%  iou-wrk-3358     [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3353     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3353     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.08%  iou-wrk-3383     [kernel.vmlinux]  [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3355     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3355     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3353     [kernel.vmlinux]  [k] io_read
     1.43%     0.01%  iou-wrk-3355     [kernel.vmlinux]  [k] io_read
     1.43%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] io_read
     1.43%     0.02%  iou-wrk-3380     [kernel.vmlinux]  [k] filemap_read
     1.43%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] io_read
     1.43%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.04%  iou-wrk-3347     [kernel.vmlinux]  [k] filemap_read
     1.42%     0.01%  iou-wrk-3376     [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.03%  iou-wrk-3377     [kernel.vmlinux]  [k] filemap_read
     1.41%     0.03%  iou-wrk-3366     [kernel.vmlinux]  [k] filemap_read
     1.41%     0.03%  iou-wrk-3352     [kernel.vmlinux]  [k] filemap_read
     1.40%     0.02%  iou-wrk-3361     [kernel.vmlinux]  [k] io_worker_handle_work
     1.40%     0.01%  iou-wrk-3362     [kernel.vmlinux]  [k] io_worker_handle_work
     1.40%     0.03%  iou-wrk-3348     [kernel.vmlinux]  [k] filemap_read
     1.40%     0.04%  iou-wrk-3346     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_worker_handle_work
     1.39%     0.00%  iou-wrk-3354     [kernel.vmlinux]  [k] io_wq_submit_work
     1.39%     0.02%  iou-wrk-3357     [kernel.vmlinux]  [k] io_worker_handle_work
     1.39%     0.00%  iou-wrk-3374     [kernel.vmlinux]  [k] io_wq_submit_work
     1.39%     0.03%  iou-wrk-3353     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.01%  iou-wrk-3370     [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3370     [kernel.vmlinux]  [k] io_wq_submit_work
     1.39%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] io_wq_submit_work
     1.39%     0.00%  iou-wrk-3354     [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3374     [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.01%  iou-wrk-3363     [kernel.vmlinux]  [k] io_read
     1.39%     0.00%  iou-wrk-3354     [kernel.vmlinux]  [k] io_read
     1.39%     0.00%  iou-wrk-3374     [kernel.vmlinux]  [k] io_read
     1.38%     0.00%  iou-wrk-3370     [kernel.vmlinux]  [k] io_read
     1.38%     0.54%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.38%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] io_wq_submit_work
     1.38%     0.03%  iou-wrk-3385     [kernel.vmlinux]  [k] filemap_read
     1.38%     0.01%  iou-wrk-3384     [kernel.vmlinux]  [k] io_issue_sqe
     1.38%     0.00%  iou-wrk-3351     [kernel.vmlinux]  [k] io_wq_submit_work
     1.38%     0.03%  iou-wrk-3358     [kernel.vmlinux]  [k] filemap_read
     1.38%     0.00%  iou-wrk-3351     [kernel.vmlinux]  [k] io_issue_sqe
     1.38%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_issue_sqe
     1.38%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_wq_submit_work
     1.37%     0.01%  iou-wrk-3351     [kernel.vmlinux]  [k] io_read
     1.37%     0.03%  iou-wrk-3355     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] io_read
     1.37%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_read
     1.37%     0.01%  iou-wrk-3365     [kernel.vmlinux]  [k] io_worker_handle_work
     1.37%     0.01%  iou-wrk-3349     [kernel.vmlinux]  [k] io_worker_handle_work
     1.36%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.01%  iou-wrk-3367     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.01%  iou-wrk-3372     [kernel.vmlinux]  [k] io_worker_handle_work
     1.36%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.04%  iou-wrk-3354     [kernel.vmlinux]  [k] filemap_read
     1.36%     0.00%  iou-wrk-3368     [kernel.vmlinux]  [k] io_read
     1.36%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] io_read
     1.36%     0.01%  iou-wrk-3375     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] io_wq_submit_work
     1.35%     0.00%  iou-wrk-3345     [kernel.vmlinux]  [k] io_issue_sqe
     1.35%     0.00%  iou-wrk-3345     [kernel.vmlinux]  [k] io_wq_submit_work
     1.35%     0.03%  iou-wrk-3363     [kernel.vmlinux]  [k] filemap_read
     1.35%     0.01%  iou-wrk-3345     [kernel.vmlinux]  [k] io_read
     1.35%     0.01%  iou-wrk-3356     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] io_read
     1.35%     0.03%  iou-wrk-3374     [kernel.vmlinux]  [k] filemap_read
     1.34%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3361     [kernel.vmlinux]  [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] io_issue_sqe
     1.34%     0.01%  iou-wrk-3361     [kernel.vmlinux]  [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] io_read
     1.34%     0.03%  iou-wrk-3370     [kernel.vmlinux]  [k] filemap_read
     1.33%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.01%  iou-wrk-3361     [kernel.vmlinux]  [k] io_read
     1.33%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] filemap_get_pages
     1.33%     0.03%  iou-wrk-3351     [kernel.vmlinux]  [k] filemap_read
     1.32%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] io_read
     1.32%     0.02%  iou-wrk-3367     [kernel.vmlinux]  [k] filemap_read
     1.32%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] filemap_get_pages
     1.31%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_wq_submit_work
     1.31%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] io_issue_sqe
     1.31%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] io_read
     1.31%     0.00%  iou-wrk-3357     [kernel.vmlinux]  [k] io_wq_submit_work
     1.31%     0.03%  iou-wrk-3376     [kernel.vmlinux]  [k] filemap_read
     1.31%     0.03%  iou-wrk-3384     [kernel.vmlinux]  [k] filemap_read
     1.31%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_read
     1.31%     0.00%  iou-wrk-3365     [kernel.vmlinux]  [k] io_issue_sqe
     1.31%     0.01%  iou-wrk-3381     [kernel.vmlinux]  [k] io_worker_handle_work
     1.31%     0.03%  iou-wrk-3368     [kernel.vmlinux]  [k] filemap_read
     1.31%     0.02%  iou-wrk-3345     [kernel.vmlinux]  [k] filemap_read
     1.31%     0.02%  iou-wrk-3373     [kernel.vmlinux]  [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-3375     [kernel.vmlinux]  [k] filemap_read
     1.30%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] io_wq_submit_work
     1.30%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] io_issue_sqe
     1.30%     0.03%  iou-wrk-3362     [kernel.vmlinux]  [k] filemap_read
     1.30%     0.03%  iou-wrk-3361     [kernel.vmlinux]  [k] filemap_read
