# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 789K of event 'cycles'
# Event count (approx.): 71959522793739
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     0.92%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] ret_from_fork
     0.91%     0.01%  iou-wrk-3100     [kernel.vmlinux]            [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] ret_from_fork
     0.91%     0.01%  iou-wrk-3068     [kernel.vmlinux]            [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] ret_from_fork
     0.91%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] ret_from_fork
     0.91%     0.01%  iou-wrk-3026     [kernel.vmlinux]            [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3026     [kernel.vmlinux]            [k] ret_from_fork
     0.91%     0.01%  iou-wrk-3047     [kernel.vmlinux]            [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3047     [kernel.vmlinux]            [k] ret_from_fork
     0.70%     0.01%  iou-wrk-3027     [kernel.vmlinux]            [k] io_worker_handle_work
     0.70%     0.01%  iou-wrk-3048     [kernel.vmlinux]            [k] io_worker_handle_work
     0.70%     0.01%  iou-wrk-3050     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3065     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.03%  fio              [kernel.vmlinux]            [k] ttwu_do_wakeup
     0.69%     0.01%  iou-wrk-3089     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3093     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3082     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3091     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3076     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3081     [kernel.vmlinux]            [k] io_worker_handle_work
     0.69%     0.01%  iou-wrk-3029     [kernel.vmlinux]            [k] io_worker_handle_work
