# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 9102693993722
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     1.49%     0.02%  iou-wrk-3156     [kernel.vmlinux]  [k] io_worker_handle_work
     1.49%     0.02%  iou-wrk-3147     [kernel.vmlinux]  [k] io_worker_handle_work
     1.48%     0.01%  iou-wrk-3144     [kernel.vmlinux]  [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3154     [kernel.vmlinux]  [k] io_worker_handle_work
     1.47%     0.01%  iou-wrk-3148     [kernel.vmlinux]  [k] io_read
     1.47%     0.00%  iou-wrk-3148     [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.00%  iou-wrk-3148     [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.01%  iou-wrk-3127     [kernel.vmlinux]  [k] io_issue_sqe
     1.47%     0.00%  iou-wrk-3127     [kernel.vmlinux]  [k] io_wq_submit_work
     1.47%     0.03%  iou-wrk-3133     [kernel.vmlinux]  [k] filemap_read
     1.47%     0.02%  iou-wrk-3163     [kernel.vmlinux]  [k] filemap_read
     1.46%     0.00%  iou-wrk-3139     [kernel.vmlinux]  [k] io_issue_sqe
     1.46%     0.00%  iou-wrk-3139     [kernel.vmlinux]  [k] io_wq_submit_work
     1.46%     0.01%  iou-wrk-3127     [kernel.vmlinux]  [k] io_read
     1.46%     0.01%  iou-wrk-3139     [kernel.vmlinux]  [k] io_read
     1.46%     0.02%  iou-wrk-3132     [kernel.vmlinux]  [k] io_worker_handle_work
     1.46%     0.01%  iou-wrk-3150     [kernel.vmlinux]  [k] io_worker_handle_work
     1.46%     0.04%  iou-wrk-3136     [kernel.vmlinux]  [k] filemap_read
     1.45%     0.00%  iou-wrk-3165     [kernel.vmlinux]  [k] io_wq_submit_work
     1.45%     0.02%  iou-wrk-3134     [kernel.vmlinux]  [k] io_worker_handle_work
     1.45%     0.00%  iou-wrk-3165     [kernel.vmlinux]  [k] io_issue_sqe
     1.44%     0.00%  iou-wrk-3165     [kernel.vmlinux]  [k] io_read
     1.44%     0.03%  iou-wrk-3160     [kernel.vmlinux]  [k] filemap_read
     1.44%     0.00%  iou-wrk-3141     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3141     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.01%  iou-wrk-3131     [kernel.vmlinux]  [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3142     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3141     [kernel.vmlinux]  [k] io_read
     1.43%     0.00%  iou-wrk-3130     [kernel.vmlinux]  [k] io_wq_submit_work
     1.43%     0.00%  iou-wrk-3142     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.01%  iou-wrk-3130     [kernel.vmlinux]  [k] io_issue_sqe
     1.43%     0.00%  iou-wrk-3142     [kernel.vmlinux]  [k] io_read
     1.42%     0.03%  iou-wrk-3139     [kernel.vmlinux]  [k] filemap_read
     1.42%     0.01%  iou-wrk-3130     [kernel.vmlinux]  [k] io_read
     1.42%     0.00%  iou-wrk-3144     [kernel.vmlinux]  [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3144     [kernel.vmlinux]  [k] io_wq_submit_work
     1.42%     0.01%  iou-wrk-3146     [kernel.vmlinux]  [k] io_worker_handle_work
     1.42%     0.00%  iou-wrk-3164     [kernel.vmlinux]  [k] io_worker_handle_work
     1.41%     0.04%  iou-wrk-3127     [kernel.vmlinux]  [k] filemap_read
     1.41%     0.00%  iou-wrk-3144     [kernel.vmlinux]  [k] io_read
     1.41%     0.03%  iou-wrk-3148     [kernel.vmlinux]  [k] filemap_read
     1.41%     0.00%  iou-wrk-3138     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3156     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3154     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3138     [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3150     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.00%  iou-wrk-3156     [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3156     [kernel.vmlinux]  [k] io_read
     1.41%     0.00%  iou-wrk-3154     [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.01%  iou-wrk-3150     [kernel.vmlinux]  [k] io_read
     1.41%     0.00%  iou-wrk-3150     [kernel.vmlinux]  [k] io_issue_sqe
     1.41%     0.01%  iou-wrk-3147     [kernel.vmlinux]  [k] io_wq_submit_work
     1.41%     0.01%  iou-wrk-3138     [kernel.vmlinux]  [k] io_read
     1.40%     0.01%  iou-wrk-3154     [kernel.vmlinux]  [k] io_read
     1.40%     0.02%  iou-wrk-3165     [kernel.vmlinux]  [k] filemap_read
     1.40%     0.01%  iou-wrk-3159     [kernel.vmlinux]  [k] io_worker_handle_work
     1.40%     0.01%  iou-wrk-3147     [kernel.vmlinux]  [k] io_issue_sqe
     1.40%     0.00%  iou-wrk-3158     [kernel.vmlinux]  [k] filemap_get_pages
     1.40%     0.02%  iou-wrk-3141     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.01%  iou-wrk-3162     [kernel.vmlinux]  [k] filemap_get_pages
     1.39%     0.00%  iou-wrk-3147     [kernel.vmlinux]  [k] io_read
     1.39%     0.00%  iou-wrk-3132     [kernel.vmlinux]  [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3132     [kernel.vmlinux]  [k] io_wq_submit_work
     1.39%     0.02%  iou-wrk-3142     [kernel.vmlinux]  [k] filemap_read
     1.39%     0.00%  iou-wrk-3137     [kernel.vmlinux]  [k] filemap_get_pages
     1.38%     0.00%  iou-wrk-3132     [kernel.vmlinux]  [k] io_read
     1.38%     0.01%  iou-wrk-3140     [kernel.vmlinux]  [k] io_worker_handle_work
     1.38%     0.01%  iou-wrk-3135     [kernel.vmlinux]  [k] io_worker_handle_work
     1.37%     0.03%  iou-wrk-3130     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.04%  iou-wrk-3138     [kernel.vmlinux]  [k] filemap_read
     1.37%     0.00%  iou-wrk-3146     [kernel.vmlinux]  [k] io_issue_sqe
     1.37%     0.00%  iou-wrk-3146     [kernel.vmlinux]  [k] io_wq_submit_work
     1.37%     0.00%  iou-wrk-3146     [kernel.vmlinux]  [k] io_read
     1.37%     0.04%  iou-wrk-3156     [kernel.vmlinux]  [k] filemap_read
     1.36%     0.00%  iou-wrk-3164     [kernel.vmlinux]  [k] io_wq_submit_work
     1.36%     0.00%  iou-wrk-3164     [kernel.vmlinux]  [k] io_issue_sqe
     1.36%     0.03%  iou-wrk-3154     [kernel.vmlinux]  [k] filemap_read
     1.36%     0.00%  iou-wrk-3161     [kernel.vmlinux]  [k] filemap_get_pages
     1.36%     0.00%  iou-wrk-3151     [kernel.vmlinux]  [k] filemap_get_pages
     1.36%     0.02%  iou-wrk-3150     [kernel.vmlinux]  [k] filemap_read
     1.35%     0.00%  iou-wrk-3131     [kernel.vmlinux]  [k] io_wq_submit_work
     1.35%     0.01%  iou-wrk-3164     [kernel.vmlinux]  [k] io_read
     1.35%     0.00%  iou-wrk-3134     [kernel.vmlinux]  [k] io_issue_sqe
     1.35%     0.00%  iou-wrk-3134     [kernel.vmlinux]  [k] io_wq_submit_work
     1.35%     0.01%  iou-wrk-3131     [kernel.vmlinux]  [k] io_read
     1.35%     0.00%  iou-wrk-3131     [kernel.vmlinux]  [k] io_issue_sqe
     1.35%     0.01%  iou-wrk-3134     [kernel.vmlinux]  [k] io_read
     1.35%     0.02%  iou-wrk-3157     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.01%  iou-wrk-3155     [kernel.vmlinux]  [k] io_worker_handle_work
     1.35%     0.03%  iou-wrk-3132     [kernel.vmlinux]  [k] filemap_read
     1.34%     0.04%  iou-wrk-3147     [kernel.vmlinux]  [k] filemap_read
     1.34%     0.02%  iou-wrk-3146     [kernel.vmlinux]  [k] filemap_read
     1.33%     0.00%  iou-wrk-3140     [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-3135     [kernel.vmlinux]  [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-3135     [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.01%  iou-wrk-3153     [kernel.vmlinux]  [k] io_worker_handle_work
     1.33%     0.01%  iou-wrk-3140     [kernel.vmlinux]  [k] io_issue_sqe
     1.33%     0.00%  iou-wrk-3135     [kernel.vmlinux]  [k] io_read
     1.32%     0.01%  iou-wrk-3140     [kernel.vmlinux]  [k] io_read
     1.32%     0.00%  iou-wrk-3152     [kernel.vmlinux]  [k] filemap_get_pages
     1.32%     0.03%  iou-wrk-3131     [kernel.vmlinux]  [k] filemap_read
     1.31%     0.02%  iou-wrk-3129     [kernel.vmlinux]  [k] io_worker_handle_work
     1.31%     0.00%  iou-wrk-3159     [kernel.vmlinux]  [k] io_wq_submit_work
     1.31%     0.00%  iou-wrk-3163     [kernel.vmlinux]  [k] filemap_get_pages
     1.31%     0.57%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.30%     0.00%  iou-wrk-3159     [kernel.vmlinux]  [k] io_read
     1.30%     0.00%  iou-wrk-3159     [kernel.vmlinux]  [k] io_issue_sqe
     1.30%     0.02%  iou-wrk-3164     [kernel.vmlinux]  [k] filemap_read
     1.30%     0.00%  iou-wrk-3128     [kernel.vmlinux]  [k] io_worker_handle_work
     1.30%     0.00%  iou-wrk-3133     [kernel.vmlinux]  [k] filemap_get_pages
     1.29%     0.02%  iou-wrk-3134     [kernel.vmlinux]  [k] filemap_read
     1.29%     0.01%  iou-wrk-3155     [kernel.vmlinux]  [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3155     [kernel.vmlinux]  [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3149     [kernel.vmlinux]  [k] filemap_get_pages
     1.28%     0.00%  iou-wrk-3155     [kernel.vmlinux]  [k] io_read
     1.28%     0.01%  iou-wrk-3136     [kernel.vmlinux]  [k] filemap_get_pages
     1.28%     0.00%  iou-wrk-3139     [kernel.vmlinux]  [k] filemap_get_pages
     1.28%     0.00%  iou-wrk-3153     [kernel.vmlinux]  [k] io_wq_submit_work
     1.28%     0.00%  iou-wrk-3153     [kernel.vmlinux]  [k] io_issue_sqe
     1.28%     0.02%  iou-wrk-3140     [kernel.vmlinux]  [k] filemap_read
     1.27%     0.00%  iou-wrk-3153     [kernel.vmlinux]  [k] io_read
     1.27%     0.03%  iou-wrk-3135     [kernel.vmlinux]  [k] filemap_read
     1.27%     0.01%  iou-wrk-3145     [kernel.vmlinux]  [k] io_worker_handle_work
     1.27%     0.00%  iou-wrk-3157     [kernel.vmlinux]  [k] io_issue_sqe
     1.27%     0.00%  iou-wrk-3157     [kernel.vmlinux]  [k] io_wq_submit_work
