# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.23%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_issue_sqe
     1.23%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_wq_submit_work
     1.23%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wq_submit_work
     1.23%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_issue_sqe
     1.23%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_issue_sqe
     1.23%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_read
     1.23%     0.00%  iou-wrk-3226     [kernel.vmlinux]            [k] io_wq_submit_work
     1.23%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3226     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3259     [kernel.vmlinux]            [k] io_read
     1.22%     0.00%  iou-wrk-3225     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_read
     1.22%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.01%  iou-wrk-3225     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3226     [kernel.vmlinux]            [k] io_read
     1.22%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.01%  iou-wrk-3255     [kernel.vmlinux]            [k] io_read
     1.22%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3258     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] io_wq_submit_work
     1.22%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3225     [kernel.vmlinux]            [k] io_read
     1.22%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_issue_sqe
     1.22%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_read
     1.22%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_read
     1.22%     0.01%  iou-wrk-3256     [kernel.vmlinux]            [k] io_read
     1.22%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] io_wq_submit_work
