# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31979551606917
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     2.19%     0.01%  iou-wrk-3110     [kernel.vmlinux]            [k] io_worker_handle_work
     2.19%     0.02%  iou-wrk-3109     [kernel.vmlinux]            [k] filemap_read
     2.19%     0.01%  iou-wrk-3096     [kernel.vmlinux]            [k] io_worker_handle_work
     2.19%     0.01%  iou-wrk-3119     [kernel.vmlinux]            [k] io_worker_handle_work
     2.19%     0.02%  iou-wrk-3108     [kernel.vmlinux]            [k] filemap_read
     2.19%     0.02%  iou-wrk-3131     [kernel.vmlinux]            [k] filemap_read
     2.19%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_issue_sqe
     2.18%     0.01%  iou-wrk-3125     [kernel.vmlinux]            [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_read
     2.18%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] io_wq_submit_work
     2.18%     0.02%  iou-wrk-3117     [kernel.vmlinux]            [k] filemap_read
     2.17%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_wq_submit_work
     2.17%     0.02%  iou-wrk-3094     [kernel.vmlinux]            [k] filemap_read
     2.17%     0.02%  iou-wrk-3134     [kernel.vmlinux]            [k] filemap_read
     2.17%     0.02%  iou-wrk-3092     [kernel.vmlinux]            [k] filemap_read
     2.17%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_read
     2.17%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_issue_sqe
     2.17%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] io_read
     2.17%     0.01%  iou-wrk-3105     [kernel.vmlinux]            [k] io_worker_handle_work
     2.17%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_read
     2.17%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.01%  iou-wrk-3093     [kernel.vmlinux]            [k] io_worker_handle_work
     2.16%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_issue_sqe
