# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 64155171953591
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.20%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] io_wq_submit_work
     2.20%     0.00%  iou-wrk-2943     [kernel.vmlinux]    [k] io_read
     2.20%     0.01%  iou-wrk-2963     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.01%  iou-wrk-2945     [kernel.vmlinux]    [k] io_worker_handle_work
     2.20%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] io_issue_sqe
     2.20%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] io_issue_sqe
     2.19%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] io_issue_sqe
     2.19%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] io_wq_submit_work
     2.19%     0.00%  iou-wrk-2953     [kernel.vmlinux]    [k] io_read
     2.19%     0.01%  iou-wrk-2964     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-2941     [kernel.vmlinux]    [k] io_read
     2.19%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] io_issue_sqe
     2.19%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] io_read
     2.19%     0.00%  iou-wrk-2960     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] io_wq_submit_work
     2.19%     0.01%  iou-wrk-2933     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] io_issue_sqe
     2.19%     0.00%  iou-wrk-2940     [kernel.vmlinux]    [k] io_read
     2.19%     0.01%  iou-wrk-2929     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.01%  iou-wrk-2950     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-2955     [kernel.vmlinux]    [k] io_read
