# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32094324233218
#
# Children      Self  Command          Shared Object       Symbol                                              
# ........  ........  ...............  ..................  ....................................................
#
     2.12%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] io_issue_sqe
     2.12%     0.02%  iou-wrk-3659     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.02%  iou-wrk-3647     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] io_issue_sqe
     2.11%     0.02%  iou-wrk-3660     [kernel.vmlinux]    [k] filemap_read
     2.11%     0.00%  iou-wrk-3650     [kernel.vmlinux]    [k] io_read
     2.11%     0.02%  iou-wrk-3656     [kernel.vmlinux]    [k] filemap_read
     2.11%     0.00%  iou-wrk-3632     [kernel.vmlinux]    [k] io_read
     2.11%     0.01%  iou-wrk-3642     [kernel.vmlinux]    [k] io_worker_handle_work
     2.11%     0.02%  iou-wrk-3663     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-3661     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] io_wq_submit_work
     2.10%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] io_issue_sqe
     2.10%     0.07%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     2.10%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] io_wq_submit_work
     2.10%     0.00%  iou-wrk-3666     [kernel.vmlinux]    [k] io_read
     2.10%     0.02%  iou-wrk-3639     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] io_issue_sqe
     2.10%     0.00%  iou-wrk-3636     [kernel.vmlinux]    [k] io_read
     2.10%     0.02%  iou-wrk-3657     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-3644     [kernel.vmlinux]    [k] filemap_read
