# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31618580708647
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     1.16%     0.00%  iou-wrk-3098     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3027     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3064     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3064     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3075     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3043     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3042     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3042     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3070     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3070     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3028     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3028     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3043     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3065     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3065     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3082     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3082     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3032     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3048     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3071     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3071     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3035     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-3072     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3084     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3032     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3033     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3048     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3086     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3088     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3088     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3056     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3083     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3083     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3033     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3061     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3032     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3054     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3035     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3074     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3048     [kernel.vmlinux]      [k] io_read
     1.16%     0.01%  iou-wrk-3091     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3062     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3062     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3086     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3056     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3035     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3033     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3086     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3054     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3067     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3067     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3056     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3059     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3059     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3090     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3090     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3092     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.01%  iou-wrk-3077     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3046     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3054     [kernel.vmlinux]      [k] io_read
