# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 898K of event 'cycles'
# Event count (approx.): 86704214777183
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     0.88%     0.01%  iou-wrk-2962     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-2954     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-3008     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-2942     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.01%  iou-wrk-2950     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.01%  iou-wrk-2960     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-2942     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.01%  iou-wrk-2986     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-2942     [kernel.vmlinux]            [k] io_read
     0.88%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_read
     0.88%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_read
     0.88%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_read
     0.88%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_read
     0.88%     0.01%  iou-wrk-2958     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.01%  iou-wrk-2999     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_read
     0.88%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.01%  iou-wrk-2997     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.01%  iou-wrk-3020     [kernel.vmlinux]            [k] io_worker_handle_work
