# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32050145111127
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.16%     0.00%  iou-wrk-3316     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3269     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3269     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3301     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3293     [kernel.vmlinux]    [k] io_read
     1.16%     0.00%  iou-wrk-3345     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3276     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3276     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3275     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3337     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3315     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3345     [kernel.vmlinux]    [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3285     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3306     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3290     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3290     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3309     [kernel.vmlinux]    [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3318     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3318     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3345     [kernel.vmlinux]    [k] io_read
     1.16%     0.00%  iou-wrk-3315     [kernel.vmlinux]    [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3265     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3265     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3326     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3315     [kernel.vmlinux]    [k] io_read
     1.16%     0.00%  iou-wrk-3294     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3264     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3330     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3330     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3286     [kernel.vmlinux]    [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3326     [kernel.vmlinux]    [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3346     [kernel.vmlinux]    [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3346     [kernel.vmlinux]    [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3339     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.01%  iou-wrk-3327     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3264     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3326     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3294     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3291     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3291     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3305     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3305     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3286     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3294     [kernel.vmlinux]    [k] io_read
