# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.87%     0.00%  iou-wrk-3418     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3418     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.00%  iou-wrk-3434     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3434     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3457     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3457     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3407     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3407     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3465     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3465     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3447     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3447     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3453     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3453     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3441     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3441     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3393     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3393     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3446     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3446     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3440     [kernel.vmlinux]    [k] io_wqe_worker
