# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     0.86%     0.01%  iou-wrk-3225     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3153     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3228     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] ret_from_fork
     0.85%     0.01%  iou-wrk-3206     [kernel.vmlinux]    [k] io_wqe_worker
     0.85%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] ret_from_fork
     0.85%     0.01%  iou-wrk-3156     [kernel.vmlinux]    [k] io_wqe_worker
     0.85%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] ret_from_fork
     0.83%     0.32%  fio              [kernel.vmlinux]    [k] check_preempt_wakeup
     0.80%     0.15%  fio              [kernel.vmlinux]    [k] put_prev_entity
     0.75%     0.10%  fio              [kernel.vmlinux]    [k] sched_clock_cpu
     0.74%     0.35%  fio              [kernel.vmlinux]    [k] psi_task_switch
     0.73%     0.67%  fio              [kernel.vmlinux]    [k] _raw_spin_lock
     0.70%     0.70%  fio              [kernel.vmlinux]    [k] __switch_to_asm
     0.68%     0.16%  fio              [kernel.vmlinux]    [k] set_next_entity
     0.63%     0.61%  fio              [kernel.vmlinux]    [k] native_sched_clock
     0.62%     0.01%  iou-wrk-3167     [kernel.vmlinux]    [k] io_worker_handle_work
     0.62%     0.01%  iou-wrk-3158     [kernel.vmlinux]    [k] io_worker_handle_work
     0.62%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] io_worker_handle_work
     0.62%     0.01%  iou-wrk-3184     [kernel.vmlinux]    [k] io_worker_handle_work
     0.62%     0.01%  iou-wrk-3154     [kernel.vmlinux]    [k] io_worker_handle_work
     0.62%     0.01%  iou-wrk-3178     [kernel.vmlinux]    [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3180     [kernel.vmlinux]    [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3177     [kernel.vmlinux]    [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3187     [kernel.vmlinux]    [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3164     [kernel.vmlinux]    [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3207     [kernel.vmlinux]    [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3186     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3221     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3203     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3191     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3209     [kernel.vmlinux]    [k] io_worker_handle_work
