# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31306094655244
#
# Children      Self  Command          Shared Object               Symbol                                       
# ........  ........  ...............  ..........................  .............................................
#
     2.13%     0.02%  iou-wrk-3038     [kernel.vmlinux]            [k] filemap_read
     2.13%     0.01%  iou-wrk-3004     [kernel.vmlinux]            [k] io_worker_handle_work
     2.13%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_issue_sqe
     2.12%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_wq_submit_work
     2.12%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_issue_sqe
     2.12%     0.02%  iou-wrk-3042     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_read
     2.12%     0.02%  iou-wrk-3032     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_read
     2.12%     0.02%  iou-wrk-3008     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.02%  iou-wrk-3030     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_wq_submit_work
     2.12%     0.01%  iou-wrk-3036     [kernel.vmlinux]            [k] io_worker_handle_work
     2.12%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_issue_sqe
     2.11%     0.00%  iou-wrk-3005     [kernel.vmlinux]            [k] io_read
     2.11%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] io_wq_submit_work
     2.11%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] io_issue_sqe
     2.11%     0.02%  iou-wrk-3010     [kernel.vmlinux]            [k] filemap_read
     2.11%     0.00%  iou-wrk-3025     [kernel.vmlinux]            [k] io_read
     2.11%     0.01%  iou-wrk-3020     [kernel.vmlinux]            [k] io_worker_handle_work
     2.10%     0.01%  iou-wrk-3017     [kernel.vmlinux]            [k] io_worker_handle_work
     2.10%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] io_wq_submit_work
     2.10%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] io_issue_sqe
     2.10%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_wq_submit_work
     2.09%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_issue_sqe
     2.09%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] io_read
     2.09%     0.02%  iou-wrk-3006     [kernel.vmlinux]            [k] filemap_read
     2.09%     0.00%  iou-wrk-3004     [kernel.vmlinux]            [k] io_read
     2.09%     0.02%  iou-wrk-3018     [kernel.vmlinux]            [k] filemap_read
     2.08%     0.02%  iou-wrk-3005     [kernel.vmlinux]            [k] filemap_read
     2.08%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] io_wq_submit_work
     2.08%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] io_issue_sqe
     2.08%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] io_read
     2.08%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] io_wq_submit_work
     2.08%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] io_issue_sqe
     2.07%     0.02%  iou-wrk-3025     [kernel.vmlinux]            [k] filemap_read
     2.07%     0.00%  iou-wrk-3020     [kernel.vmlinux]            [k] io_read
     2.07%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] io_wq_submit_work
     2.07%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] io_issue_sqe
     2.07%     0.00%  iou-wrk-3017     [kernel.vmlinux]            [k] io_read
     2.06%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] io_worker_handle_work
     2.06%     0.02%  iou-wrk-3027     [kernel.vmlinux]            [k] filemap_read
     2.06%     0.02%  iou-wrk-3004     [kernel.vmlinux]            [k] filemap_read
     2.05%     0.02%  iou-wrk-3036     [kernel.vmlinux]            [k] filemap_read
     2.04%     0.02%  iou-wrk-3020     [kernel.vmlinux]            [k] filemap_read
     2.04%     0.02%  iou-wrk-3017     [kernel.vmlinux]            [k] filemap_read
     2.03%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] io_wq_submit_work
     2.03%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] io_issue_sqe
     2.03%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] io_read
     2.02%     0.07%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     2.00%     0.02%  iou-wrk-3029     [kernel.vmlinux]            [k] filemap_read
     1.91%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] filemap_get_pages
     1.90%     0.01%  kswapd0          [kernel.vmlinux]            [k] _raw_spin_lock_irq
     1.90%     1.90%  kswapd0          [kernel.vmlinux]            [k] native_queued_spin_lock_slowpath
     1.90%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] filemap_get_pages
     1.90%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] filemap_get_pages
     1.90%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] filemap_get_pages
     1.88%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] filemap_get_pages
