# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2398592790048
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     0.81%     0.00%  iou-wrk-3048     [kernel.vmlinux]  [k] io_wq_submit_work
     0.80%     0.00%  iou-wrk-3086     [kernel.vmlinux]  [k] io_issue_sqe
     0.80%     0.00%  iou-wrk-3086     [kernel.vmlinux]  [k] io_read
     0.80%     0.00%  iou-wrk-3048     [kernel.vmlinux]  [k] io_read
     0.80%     0.02%  iou-wrk-3054     [kernel.vmlinux]  [k] filemap_read
     0.80%     0.01%  iou-wrk-3051     [kernel.vmlinux]  [k] io_issue_sqe
     0.79%     0.02%  iou-wrk-3083     [kernel.vmlinux]  [k] filemap_read
     0.79%     0.00%  iou-wrk-3051     [kernel.vmlinux]  [k] io_read
     0.79%     0.01%  iou-wrk-3059     [kernel.vmlinux]  [k] io_wq_submit_work
     0.78%     0.02%  iou-wrk-3059     [kernel.vmlinux]  [k] io_read
     0.78%     0.00%  iou-wrk-3059     [kernel.vmlinux]  [k] io_issue_sqe
     0.78%     0.00%  iou-wrk-3059     [kernel.vmlinux]  [k] schedule
     0.77%     0.05%  iou-wrk-3062     [kernel.vmlinux]  [k] filemap_read
     0.77%     0.00%  iou-wrk-3069     [kernel.vmlinux]  [k] io_read
     0.77%     0.04%  iou-wrk-3048     [kernel.vmlinux]  [k] filemap_read
     0.76%     0.02%  iou-wrk-3059     [kernel.vmlinux]  [k] __schedule
     0.76%     0.02%  iou-wrk-3063     [kernel.vmlinux]  [k] io_issue_sqe
     0.76%     0.00%  iou-wrk-3063     [kernel.vmlinux]  [k] io_wq_submit_work
     0.76%     0.07%  fio              [kernel.vmlinux]  [k] sched_clock_cpu
     0.76%     0.05%  iou-wrk-3051     [kernel.vmlinux]  [k] filemap_read
     0.76%     0.01%  iou-wrk-3053     [kernel.vmlinux]  [k] io_issue_sqe
     0.76%     0.00%  iou-wrk-3053     [kernel.vmlinux]  [k] io_wq_submit_work
     0.76%     0.00%  iou-wrk-3051     [kernel.vmlinux]  [k] schedule_timeout
     0.75%     0.74%  fio              [kernel.vmlinux]  [k] __update_load_avg_se
     0.75%     0.01%  iou-wrk-3050     [kernel.vmlinux]  [k] io_read
     0.75%     0.00%  iou-wrk-3050     [kernel.vmlinux]  [k] io_issue_sqe
     0.75%     0.00%  iou-wrk-3050     [kernel.vmlinux]  [k] io_wq_submit_work
     0.75%     0.00%  iou-wrk-3053     [kernel.vmlinux]  [k] io_read
     0.74%     0.05%  iou-wrk-3055     [kernel.vmlinux]  [k] filemap_read
     0.74%     0.27%  iou-wrk-3065     [kernel.vmlinux]  [k] schedule_timeout
     0.74%     0.01%  iou-wrk-3063     [kernel.vmlinux]  [k] io_read
     0.73%     0.05%  iou-wrk-3064     [kernel.vmlinux]  [k] filemap_read
     0.73%     0.73%  fio              [kernel.vmlinux]  [k] io_prep_rw
     0.73%     0.03%  iou-wrk-3052     [kernel.vmlinux]  [k] filemap_read
     0.73%     0.05%  iou-wrk-3059     [kernel.vmlinux]  [k] filemap_read
     0.73%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] filemap_get_pages
     0.73%     0.04%  fio              [kernel.vmlinux]  [k] io_file_get_normal
     0.73%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_read
