# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8853140402121
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     1.44%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] io_wq_submit_work
     1.44%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_worker_handle_work
     1.44%     0.02%  iou-wrk-3200     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.04%  iou-wrk-3187     [kernel.vmlinux]    [k] filemap_read
     1.43%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.02%  iou-wrk-3173     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] io_read
     1.43%     0.03%  iou-wrk-3190     [kernel.vmlinux]    [k] filemap_read
     1.43%     0.01%  iou-wrk-3159     [kernel.vmlinux]    [k] io_worker_handle_work
     1.43%     0.02%  iou-wrk-3163     [kernel.vmlinux]    [k] io_worker_handle_work
     1.42%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_issue_sqe
     1.42%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_wq_submit_work
     1.42%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_read
     1.42%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_wq_submit_work
     1.41%     0.05%  iou-wrk-3181     [kernel.vmlinux]    [k] filemap_read
     1.41%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_read
     1.41%     0.02%  iou-wrk-3177     [kernel.vmlinux]    [k] io_worker_handle_work
     1.41%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_issue_sqe
     1.41%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.01%  iou-wrk-3183     [kernel.vmlinux]    [k] io_worker_handle_work
     1.40%     0.03%  iou-wrk-3192     [kernel.vmlinux]    [k] filemap_read
     1.40%     0.04%  iou-wrk-3185     [kernel.vmlinux]    [k] filemap_read
     1.40%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_worker_handle_work
     1.40%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_worker_handle_work
     1.40%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_issue_sqe
     1.40%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_read
     1.40%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_issue_sqe
     1.40%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_wq_submit_work
     1.40%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_read
     1.39%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.01%  iou-wrk-3182     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.01%  iou-wrk-3186     [kernel.vmlinux]    [k] io_read
     1.39%     0.04%  iou-wrk-3160     [kernel.vmlinux]    [k] filemap_read
     1.39%     0.01%  iou-wrk-3158     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_wq_submit_work
     1.39%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_read
     1.39%     0.02%  iou-wrk-3166     [kernel.vmlinux]    [k] filemap_read
     1.39%     0.01%  iou-wrk-3179     [kernel.vmlinux]    [k] io_read
     1.39%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_issue_sqe
     1.39%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wq_submit_work
     1.38%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_read
     1.38%     0.03%  iou-wrk-3169     [kernel.vmlinux]    [k] filemap_read
     1.38%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_issue_sqe
     1.38%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wq_submit_work
     1.38%     0.01%  iou-wrk-3184     [kernel.vmlinux]    [k] io_issue_sqe
     1.38%     0.01%  iou-wrk-3182     [kernel.vmlinux]    [k] io_read
     1.38%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_read
     1.38%     0.04%  iou-wrk-3198     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.03%  iou-wrk-3172     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.03%  iou-wrk-3188     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.01%  iou-wrk-3184     [kernel.vmlinux]    [k] io_read
     1.37%     0.03%  iou-wrk-3197     [kernel.vmlinux]    [k] filemap_read
     1.37%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_wq_submit_work
     1.36%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wq_submit_work
     1.36%     0.01%  iou-wrk-3189     [kernel.vmlinux]    [k] io_worker_handle_work
     1.36%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_read
     1.36%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wq_submit_work
     1.36%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_issue_sqe
     1.36%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wq_submit_work
     1.36%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_read
     1.36%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_read
     1.36%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_read
     1.35%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wq_submit_work
     1.35%     0.02%  iou-wrk-3199     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_issue_sqe
     1.35%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.01%  iou-wrk-3175     [kernel.vmlinux]    [k] io_worker_handle_work
     1.35%     0.05%  iou-wrk-3158     [kernel.vmlinux]    [k] filemap_read
     1.35%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_read
     1.34%     0.03%  iou-wrk-3164     [kernel.vmlinux]    [k] filemap_read
     1.34%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_issue_sqe
     1.34%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_worker_handle_work
     1.34%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_read
     1.34%     0.01%  iou-wrk-3193     [kernel.vmlinux]    [k] io_read
     1.34%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_read
     1.34%     0.04%  iou-wrk-3186     [kernel.vmlinux]    [k] filemap_read
     1.34%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wq_submit_work
     1.34%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_issue_sqe
     1.34%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_read
     1.33%     0.03%  iou-wrk-3179     [kernel.vmlinux]    [k] filemap_read
     1.33%     0.02%  iou-wrk-3182     [kernel.vmlinux]    [k] filemap_read
     1.33%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wq_submit_work
     1.33%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_worker_handle_work
     1.33%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_worker_handle_work
     1.32%     0.03%  iou-wrk-3200     [kernel.vmlinux]    [k] filemap_read
     1.32%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_read
     1.32%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_issue_sqe
     1.32%     0.03%  iou-wrk-3184     [kernel.vmlinux]    [k] filemap_read
     1.32%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_read
     1.32%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_issue_sqe
     1.32%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wq_submit_work
     1.32%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] filemap_get_pages
     1.31%     0.03%  iou-wrk-3165     [kernel.vmlinux]    [k] filemap_read
     1.31%     0.03%  iou-wrk-3159     [kernel.vmlinux]    [k] filemap_read
     1.31%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wq_submit_work
     1.31%     0.04%  iou-wrk-3162     [kernel.vmlinux]    [k] filemap_read
     1.30%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_read
     1.30%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_issue_sqe
     1.30%     0.02%  iou-wrk-3173     [kernel.vmlinux]    [k] filemap_read
     1.30%     0.03%  iou-wrk-3194     [kernel.vmlinux]    [k] filemap_read
     1.30%     0.04%  iou-wrk-3183     [kernel.vmlinux]    [k] filemap_read
     1.30%     0.02%  iou-wrk-3163     [kernel.vmlinux]    [k] filemap_read
     1.29%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_issue_sqe
     1.29%     0.01%  iou-wrk-3180     [kernel.vmlinux]    [k] io_worker_handle_work
     1.29%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_read
     1.29%     0.03%  iou-wrk-3193     [kernel.vmlinux]    [k] filemap_read
     1.29%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wq_submit_work
     1.29%     0.03%  iou-wrk-3176     [kernel.vmlinux]    [k] filemap_read
     1.29%     0.03%  iou-wrk-3177     [kernel.vmlinux]    [k] filemap_read
     1.29%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wq_submit_work
     1.28%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_issue_sqe
     1.28%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_read
     1.28%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_issue_sqe
     1.28%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_read
     1.28%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_read
     1.27%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_worker_handle_work
     1.27%     0.01%  iou-wrk-3190     [kernel.vmlinux]    [k] filemap_get_pages
     1.27%     0.03%  iou-wrk-3189     [kernel.vmlinux]    [k] filemap_read
     1.25%     0.03%  iou-wrk-3168     [kernel.vmlinux]    [k] filemap_read
     1.25%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] filemap_get_pages
     1.25%     0.03%  iou-wrk-3170     [kernel.vmlinux]    [k] filemap_read
     1.25%     0.03%  iou-wrk-3175     [kernel.vmlinux]    [k] filemap_read
     1.24%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] filemap_get_pages
     1.24%     0.03%  iou-wrk-3196     [kernel.vmlinux]    [k] filemap_read
     1.23%     0.01%  iou-wrk-3180     [kernel.vmlinux]    [k] io_issue_sqe
