# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     0.97%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wq_submit_work
     0.97%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] io_wq_submit_work
     0.97%     0.02%  iou-wrk-3174     [kernel.vmlinux]    [k] io_worker_handle_work
     0.97%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] io_wq_submit_work
     0.96%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_issue_sqe
     0.96%     0.02%  iou-wrk-3169     [kernel.vmlinux]    [k] io_worker_handle_work
     0.96%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] io_issue_sqe
     0.96%     0.01%  iou-wrk-3138     [kernel.vmlinux]    [k] io_issue_sqe
     0.96%     0.02%  iou-wrk-3154     [kernel.vmlinux]    [k] io_worker_handle_work
     0.96%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] io_wq_submit_work
     0.96%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_read
     0.96%     0.01%  iou-wrk-3144     [kernel.vmlinux]    [k] io_read
     0.96%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] io_issue_sqe
     0.96%     0.01%  iou-wrk-3138     [kernel.vmlinux]    [k] io_read
     0.95%     0.01%  iou-wrk-3146     [kernel.vmlinux]    [k] io_read
     0.95%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wq_submit_work
     0.95%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wq_submit_work
     0.95%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] io_wq_submit_work
     0.95%     0.01%  iou-wrk-3151     [kernel.vmlinux]    [k] io_issue_sqe
     0.95%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_issue_sqe
     0.95%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] io_issue_sqe
     0.95%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] io_wq_submit_work
     0.94%     0.01%  iou-wrk-3151     [kernel.vmlinux]    [k] io_read
     0.94%     0.01%  iou-wrk-3173     [kernel.vmlinux]    [k] io_read
