# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     0.00%     0.00%  kworker/20:1-mm  [kernel.vmlinux]    [k] fill_page_cache_func
     0.00%     0.00%  kworker/20:1-mm  [kernel.vmlinux]    [k] get_page_from_freelist
     0.00%     0.00%  kworker/20:1-mm  [kernel.vmlinux]    [k] process_one_work
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] update_cfs_rq_h_load
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] rb_next
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __remove_hrtimer
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] timerqueue_del
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] update_irq_load_avg
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] __unfreeze_partials
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] put_cpu_partial
     0.00%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] refill_stock
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] cr4_update_irqsoff
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] switch_ldt
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] __bitmap_and
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] select_task_rq_fair
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] migrate_task_rq_fair
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] set_task_cpu
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] irqentry_enter
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] nohz_balance_exit_idle
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] perf_event_comm
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] perf_event_comm_output
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] PageHuge
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] error_entry
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] page_counter_cancel
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] page_counter_uncharge
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] uncharge_batch
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] memcg_check_events
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] up_read
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] asm_exc_page_fault
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] do_user_addr_fault
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] exc_page_fault
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] free_pcp_prepare
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] try_to_inc_min_seq
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] available_idle_cpu
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] check_preempt_curr
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] check_preempt_wakeup
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] ttwu_do_wakeup
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] place_entity
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __hrtimer_next_event_base
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __hrtimer_get_next_event
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] hrtimer_update_next_event
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] llist_reverse_order
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] flush_smp_call_function_queue
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] update_load_avg
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] __queue_work
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] __softirqentry_text_start
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] call_timer_fn
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] cpu_stopper_thread
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] enqueue_entity
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] enqueue_task_fair
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] irq_exit_rcu
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] kthread
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] migration_cpu_stop
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] ret_from_fork
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] run_timer_softirq
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] smpboot_thread_fn
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] try_to_wake_up
     0.00%     0.00%  migration/5      [kernel.vmlinux]    [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] kick_process
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_queue_worker_create
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] task_work_add
     0.00%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] update_rt_rq_load_avg
     0.00%     0.00%  kworker/50:2-mm  [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  kworker/50:2-mm  [kernel.vmlinux]    [k] __purge_vmap_area_lazy
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] sched_slice
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] get_next_freq
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] acct_collect
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] mempool_free_slab
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] sched_slice
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] mod_objcg_state
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] put_pid.part.0
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] rcu_core
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] rcu_do_batch
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] ttwu_queue_wakelist
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] timerqueue_add
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] enqueue_hrtimer
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] lruvec_memcg_debug
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] uncharge_page
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] __cgroup_account_cputime_field
     0.00%     0.00%  kworker/58:2-mm  [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] native_apic_msr_eoi_write
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] sched_clock_tick
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] place_entity
     0.00%     0.00%  kworker/48:2-mm  [kernel.vmlinux]    [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] hrtimer_update_next_event
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __hrtimer_get_next_event
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] sched_move_task
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] should_fail_bio
     0.00%     0.00%  :-1              [kernel.vmlinux]    [k] __radix_tree_delete
     0.00%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] rcu_sched_clock_irq
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] hrtimer_update_next_event
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] page_counter_cancel
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] __memcg_kmem_uncharge_page
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] obj_cgroup_uncharge_pages
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] page_counter_uncharge
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] put_task_stack
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] PageHuge
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] __bitmap_and
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] free_unref_page_commit.isra.0
     0.00%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] page_referenced
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] page_referenced
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] resched_curr
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __wake_up
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] resched_curr
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] memcpy_erms
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] __perf_event__output_id_sample
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] perf_event_task
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] perf_event_task_output
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] perf_iterate_sb
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] perf_output_copy
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] tick_nohz_get_idle_calls_cpu
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] down_read_trylock
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] page_referenced
     0.00%     0.00%  kworker/72:2-mm  [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  kworker/72:2-mm  [kernel.vmlinux]    [k] __purge_vmap_area_lazy
     0.00%     0.00%  kworker/72:2-mm  [kernel.vmlinux]    [k] free_vmap_area_noflush
     0.00%     0.00%  kworker/72:2-mm  [kernel.vmlinux]    [k] remove_vm_area
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] bio_put
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] page_mapped
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] free_pcp_prepare
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] __hrtimer_next_event_base
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] hrtimer_update_next_event
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] mempool_free_slab
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] css_next_descendant_pre
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] idle_cpu
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] sysvec_reschedule_ipi
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] irqentry_enter
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] memcg_check_events
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] uncharge_page
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] bio_put
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] ttwu_queue_wakelist
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] put_prev_task_fair
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] run_posix_cpu_timers
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] page_referenced
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] tick_program_event
     0.00%     0.00%  kworker/54:2-mm  [kernel.vmlinux]    [k] __purge_vmap_area_lazy
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] uncharge_batch
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] account_process_tick
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] native_write_msr
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __intel_pmu_enable_all.constprop.0
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] uprobe_free_utask
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] mm_release
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] put_task_stack
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] nohz_balance_exit_idle
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] complete
     0.00%     0.00%  kworker/78:2-mm  [kernel.vmlinux]    [k] free_vmap_area_noflush
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] mpage_end_io
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] percpu_ref_put_many.constprop.0
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] page_referenced
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] down_read_trylock
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] __cgroup_account_cputime_field
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] mempool_free_slab
     0.00%     0.00%  kworker/70:2-mm  [kernel.vmlinux]    [k] __free_one_page
     0.00%     0.00%  kworker/70:2-mm  [kernel.vmlinux]    [k] free_pcppages_bulk
     0.00%     0.00%  kworker/70:2-mm  [kernel.vmlinux]    [k] free_unref_page
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] resched_curr
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] mempool_alloc_slab
     0.00%     0.00%  kworker/78:2-mm  [kernel.vmlinux]    [k] update_rq_clock
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] dqcache_shrink_count
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] free_unref_page_commit.isra.0
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] split_page_memcg
     0.00%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] acct_account_cputime
     0.00%     0.00%  kworker/19:3-rc  [kernel.vmlinux]    [k] kthread
     0.00%     0.00%  kworker/19:3-rc  [kernel.vmlinux]    [k] ret_from_fork
     0.00%     0.00%  kworker/19:3-rc  [kernel.vmlinux]    [k] worker_thread
     0.00%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] tick_program_event
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] cgroup_exit
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] __queue_work
     0.00%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] page_mapped
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] uncharge_page
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] swake_up_locked.part.0
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] swake_up_one
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] should_failslab
     0.00%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] bio_put
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  kworker/8:1-mm_  [kernel.vmlinux]    [k] rb_erase
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] kfree_rcu_shrink_scan
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] tick_nohz_get_idle_calls_cpu
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] __queue_work
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] put_task_stack
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] queue_work_on
     0.00%     0.00%  kworker/32:1-mm  [kernel.vmlinux]    [k] remove_vm_area
     0.00%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] place_entity
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] update_rt_rq_load_avg
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] __schedule
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] preempt_schedule_common
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] bio_advance
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] __common_interrupt
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] __handle_irq_event_percpu
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] blk_update_request
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] complete_cmd_fusion
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] handle_edge_irq
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] handle_irq_event
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] handle_irq_event_percpu
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] megasas_isr_fusion
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] scsi_end_request
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] scsi_io_completion
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] __intel_pmu_enable_all.constprop.0
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] irq_work_tick
     0.00%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] mempool_free_slab
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] hrtimer_active
     0.00%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] cpuset_nodemask_valid_mems_allowed
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] x86_pmu_disable
     0.00%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] task_work_run
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] do_page_add_anon_rmap
     0.00%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] sysvec_reschedule_ipi
     0.00%     0.00%  kworker/8:1-mm_  [kernel.vmlinux]    [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/8:1-mm_  [kernel.vmlinux]    [k] vmstat_update
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] percpu_ref_put_many.constprop.0
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] perf_swevent_start
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] check_preempt_wakeup
     0.00%     0.00%  rcu_sched        [kernel.vmlinux]    [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  :-1              [kernel.vmlinux]    [k] __slab_free
     0.00%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] profile_tick
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] refill_obj_stock
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] __softirqentry_text_start
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] kmem_cache_free
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] kthread
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] put_pid.part.0
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] rcu_core
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] rcu_do_batch
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] ret_from_fork
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] run_ksoftirqd
     0.00%     0.00%  ksoftirqd/44     [kernel.vmlinux]    [k] smpboot_thread_fn
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] lru_add_drain
     0.00%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] lru_add_drain_cpu
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] io_wake_function
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] arch_local_irq_enable
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] idle_cpu
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] wakeup_kswapd
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] try_to_inc_min_seq
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] arch_local_irq_enable
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] cr4_update_irqsoff
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]    [k] free_pcp_prepare
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] cpumask_next_and
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] page_referenced
     0.00%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] should_fail_bio
     0.00%     0.00%  kworker/0:1-eve  [kernel.vmlinux]    [k] __free_pages
     0.00%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] irqentry_enter
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] __mem_cgroup_threshold
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] list_lru_count_one
     0.00%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] super_cache_count
     0.00%     0.00%  kswapd0          [kernel.vmlinux]    [k] set_pgdat_percpu_threshold
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] perf_pmu_disable.part.0
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] deactivate_task
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] rcu_core_si
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] irqtime_account_process_tick
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] _find_next_bit
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] __task_pid_nr_ns
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] perf_event_pid_type
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] perf_event_task
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] perf_event_task_output
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] perf_iterate_sb
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] __bitmap_and
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] load_balance
     0.00%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] get_nr_evictable.isra.0
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] account_process_tick
     0.00%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] sched_move_task
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]    [k] anon_vma_interval_tree_iter_next
     0.00%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] mmap_read_lock
     0.00%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] total_mapcount
     0.00%     0.00%  kworker/46:2-mm  [kernel.vmlinux]    [k] rb_erase
     0.00%     0.00%  kworker/46:2-mm  [kernel.vmlinux]    [k] free_vmap_area_noflush
     0.00%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] queued_write_lock_slowpath
     0.00%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] irqtime_account_process_tick
     0.00%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] irqentry_enter
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] rb_insert_color
     0.00%     0.00%  kworker/62:2-mm  [kernel.vmlinux]    [k] cpuacct_charge
     0.00%     0.00%  kworker/62:2-mm  [kernel.vmlinux]    [k] __schedule
     0.00%     0.00%  kworker/62:2-mm  [kernel.vmlinux]    [k] dequeue_entity
     0.00%     0.00%  kworker/62:2-mm  [kernel.vmlinux]    [k] dequeue_task_fair
     0.00%     0.00%  kworker/62:2-mm  [kernel.vmlinux]    [k] schedule
     0.00%     0.00%  kworker/62:2-mm  [kernel.vmlinux]    [k] update_curr
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] sysvec_reschedule_ipi
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] mmap_read_lock
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] send_call_function_single_ipi
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] generic_exec_single
     0.00%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] smp_call_function_single_async
     0.00%     0.00%  kworker/8:1-mm_  [kernel.vmlinux]    [k] __purge_vmap_area_lazy
     0.00%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] free_unref_page_commit.isra.0
     0.00%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] do_page_cache_ra
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] account_process_tick
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] zone_reclaimable_pages
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] allow_direct_reclaim.part.0
     0.00%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] throttle_direct_reclaim
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] __cgroup_account_cputime_field
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] account_system_index_time
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] switch_ldt
     0.00%     0.00%  fio              [kernel.vmlinux]    [k] can_migrate_task
     0.00%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] calc_global_load_tick
     0.00%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] copy_mc_to_kernel
     0.00%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] hrtimer_forward
     0.00%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] propagate_protected_usage
     0.00%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] complete
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] activate_task
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] attach_task
     0.00%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] load_balance
     0.00%     0.00%  kworker/u161:17  [kernel.vmlinux]    [k] find_get_pages_range_tag
