# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 889K of event 'cycles'
# Event count (approx.): 81621143610943
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     1.20%     0.00%  iou-wrk-3265     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.01%  iou-wrk-3265     [kernel.vmlinux]            [k] io_read
     1.20%     0.64%  fio              [kernel.vmlinux]            [k] _raw_spin_lock
     1.20%     0.01%  iou-wrk-3248     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3270     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3268     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3270     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3268     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-3270     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-3268     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3262     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3264     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3262     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3264     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3269     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3258     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3269     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-3264     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3260     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3262     [kernel.vmlinux]            [k] io_read
     1.18%     0.01%  iou-wrk-3246     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3255     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-3256     [kernel.vmlinux]            [k] io_read
     1.18%     0.01%  iou-wrk-3233     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-3260     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-3269     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3261     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_read
     1.18%     0.01%  iou-wrk-3257     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-3263     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-3266     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3261     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3263     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-3233     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-3260     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-3263     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3261     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3267     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3267     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-3267     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-3252     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.04%  iou-wrk-3231     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.01%  iou-wrk-3259     [kernel.vmlinux]            [k] io_read
     1.14%     0.04%  iou-wrk-3248     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.04%  iou-wrk-3247     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.04%  iou-wrk-3240     [kernel.vmlinux]            [k] filemap_read
     1.14%     1.12%  fio              [kernel.vmlinux]            [k] available_idle_cpu
     1.14%     0.04%  iou-wrk-3265     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.04%  iou-wrk-3245     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_read
     1.13%     0.04%  iou-wrk-3270     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.04%  iou-wrk-3254     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.04%  iou-wrk-3258     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.04%  iou-wrk-3268     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.03%  iou-wrk-3264     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3256     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3262     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3255     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3257     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.03%  iou-wrk-3237     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3266     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3239     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.04%  iou-wrk-3246     [kernel.vmlinux]            [k] filemap_read
