# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
     0.88%     0.01%  iou-wrk-3276     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3277     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3277     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3341     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3341     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3326     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3326     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3324     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3324     [kernel.vmlinux]      [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3304     [kernel.vmlinux]      [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3304     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] io_issue_sqe
     0.87%     0.01%  iou-wrk-3331     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3331     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3311     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3303     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3303     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3314     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3314     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3273     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3273     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3300     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3300     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3316     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3317     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3317     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3301     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3301     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.00%  iou-wrk-3310     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3310     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3336     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3269     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3269     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3262     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3298     [kernel.vmlinux]      [k] io_read
     0.87%     0.01%  iou-wrk-3281     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3334     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3334     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3286     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3286     [kernel.vmlinux]      [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3332     [kernel.vmlinux]      [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3332     [kernel.vmlinux]      [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3320     [kernel.vmlinux]      [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3342     [kernel.vmlinux]      [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3342     [kernel.vmlinux]      [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3288     [kernel.vmlinux]      [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3288     [kernel.vmlinux]      [k] ret_from_fork
     0.86%     0.00%  iou-wrk-3315     [kernel.vmlinux]      [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3315     [kernel.vmlinux]      [k] ret_from_fork
     0.82%     0.32%  fio              [kernel.vmlinux]      [k] check_preempt_wakeup
     0.79%     0.04%  iou-wrk-3298     [kernel.vmlinux]      [k] filemap_read
     0.79%     0.15%  fio              [kernel.vmlinux]      [k] put_prev_entity
     0.75%     0.01%  iou-wrk-3272     [kernel.vmlinux]      [k] io_worker_handle_work
     0.74%     0.35%  fio              [kernel.vmlinux]      [k] psi_task_switch
     0.74%     0.09%  fio              [kernel.vmlinux]      [k] sched_clock_cpu
     0.69%     0.64%  fio              [kernel.vmlinux]      [k] _raw_spin_lock
     0.68%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] io_wq_submit_work
     0.68%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] io_issue_sqe
     0.68%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] io_read
     0.67%     0.01%  iou-wrk-3321     [kernel.vmlinux]      [k] io_worker_handle_work
     0.66%     0.66%  fio              [kernel.vmlinux]      [k] __switch_to_asm
     0.65%     0.14%  fio              [kernel.vmlinux]      [k] set_next_entity
     0.64%     0.01%  iou-wrk-3263     [kernel.vmlinux]      [k] io_worker_handle_work
     0.63%     0.01%  iou-wrk-3282     [kernel.vmlinux]      [k] io_worker_handle_work
     0.63%     0.01%  iou-wrk-3294     [kernel.vmlinux]      [k] io_worker_handle_work
     0.63%     0.01%  iou-wrk-3265     [kernel.vmlinux]      [k] io_worker_handle_work
     0.63%     0.03%  iou-wrk-3272     [kernel.vmlinux]      [k] filemap_read
     0.62%     0.60%  fio              [kernel.vmlinux]      [k] native_sched_clock
     0.62%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] io_wq_submit_work
     0.62%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] io_issue_sqe
     0.61%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] io_read
     0.61%     0.01%  iou-wrk-3279     [kernel.vmlinux]      [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3339     [kernel.vmlinux]      [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3268     [kernel.vmlinux]      [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3322     [kernel.vmlinux]      [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3266     [kernel.vmlinux]      [k] io_worker_handle_work
     0.61%     0.01%  iou-wrk-3323     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3267     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3329     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3292     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3325     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3310     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3335     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3340     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3274     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3297     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3264     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3307     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3262     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3295     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3306     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3327     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3299     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3293     [kernel.vmlinux]      [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3318     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3285     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3284     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3296     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3308     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3313     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3278     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3282     [kernel.vmlinux]      [k] io_wq_submit_work
     0.59%     0.01%  iou-wrk-3277     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3338     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3330     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3312     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] io_wq_submit_work
     0.59%     0.01%  iou-wrk-3291     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3314     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3287     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3328     [kernel.vmlinux]      [k] io_worker_handle_work
