# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50691462906819
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.19%     0.01%  iou-wrk-2984     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-2994     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.01%  iou-wrk-2986     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-2958     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-2986     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-2963     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.01%  iou-wrk-2958     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-2993     [kernel.vmlinux]            [k] io_read
     1.18%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-2976     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-2961     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-2963     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-2976     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-2981     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.01%  iou-wrk-2960     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-2972     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.01%  iou-wrk-2976     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-2962     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-2967     [kernel.vmlinux]            [k] io_read
     1.17%     0.00%  iou-wrk-2977     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-2977     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-2959     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-2972     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-2959     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-2977     [kernel.vmlinux]            [k] io_read
     1.16%     0.01%  iou-wrk-2959     [kernel.vmlinux]            [k] io_read
     1.15%     1.14%  fio              [kernel.vmlinux]            [k] available_idle_cpu
     1.15%     0.01%  iou-wrk-2971     [kernel.vmlinux]            [k] io_read
     1.15%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] io_wq_submit_work
