# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7894515641663
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     0.99%     0.01%  iou-wrk-3266     [kernel.vmlinux]  [k] io_issue_sqe
     0.99%     0.00%  iou-wrk-3266     [kernel.vmlinux]  [k] io_wq_submit_work
     0.98%     0.00%  iou-wrk-3266     [kernel.vmlinux]  [k] io_read
     0.98%     0.01%  iou-wrk-3230     [kernel.vmlinux]  [k] io_read
     0.98%     0.00%  iou-wrk-3250     [kernel.vmlinux]  [k] io_wq_submit_work
     0.97%     0.01%  iou-wrk-3250     [kernel.vmlinux]  [k] io_issue_sqe
     0.97%     0.03%  iou-wrk-3236     [kernel.vmlinux]  [k] filemap_read
     0.97%     0.05%  iou-wrk-3263     [kernel.vmlinux]  [k] filemap_read
     0.96%     0.00%  iou-wrk-3250     [kernel.vmlinux]  [k] io_read
     0.96%     0.02%  iou-wrk-3228     [kernel.vmlinux]  [k] io_worker_handle_work
     0.96%     0.00%  iou-wrk-3247     [kernel.vmlinux]  [k] io_wq_submit_work
     0.96%     0.01%  iou-wrk-3260     [kernel.vmlinux]  [k] io_wq_submit_work
     0.96%     0.00%  iou-wrk-3247     [kernel.vmlinux]  [k] io_issue_sqe
     0.96%     0.01%  iou-wrk-3249     [kernel.vmlinux]  [k] io_wq_submit_work
     0.96%     0.00%  iou-wrk-3255     [kernel.vmlinux]  [k] io_wq_submit_work
     0.95%     0.01%  iou-wrk-3255     [kernel.vmlinux]  [k] io_issue_sqe
     0.95%     0.00%  iou-wrk-3247     [kernel.vmlinux]  [k] io_read
     0.95%     0.00%  iou-wrk-3260     [kernel.vmlinux]  [k] io_issue_sqe
     0.95%     0.01%  iou-wrk-3249     [kernel.vmlinux]  [k] io_issue_sqe
     0.95%     0.01%  iou-wrk-3260     [kernel.vmlinux]  [k] io_read
     0.95%     0.04%  iou-wrk-3252     [kernel.vmlinux]  [k] filemap_read
     0.95%     0.00%  iou-wrk-3264     [kernel.vmlinux]  [k] io_wq_submit_work
     0.95%     0.00%  iou-wrk-3257     [kernel.vmlinux]  [k] io_issue_sqe
     0.95%     0.00%  iou-wrk-3257     [kernel.vmlinux]  [k] io_wq_submit_work
     0.95%     0.02%  iou-wrk-3256     [kernel.vmlinux]  [k] io_worker_handle_work
     0.95%     0.00%  iou-wrk-3255     [kernel.vmlinux]  [k] io_read
     0.95%     0.01%  iou-wrk-3257     [kernel.vmlinux]  [k] io_read
     0.94%     0.01%  iou-wrk-3264     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3249     [kernel.vmlinux]  [k] io_read
     0.94%     0.06%  fio              [kernel.vmlinux]  [k] ttwu_do_wakeup
     0.94%     0.00%  iou-wrk-3264     [kernel.vmlinux]  [k] io_read
     0.94%     0.01%  iou-wrk-3245     [kernel.vmlinux]  [k] io_read
     0.94%     0.00%  iou-wrk-3245     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3245     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.01%  iou-wrk-3239     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.00%  iou-wrk-3243     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.00%  iou-wrk-3243     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.00%  kswapd0          [kernel.vmlinux]  [k] balance_pgdat
     0.93%     0.00%  kswapd0          [kernel.vmlinux]  [k] kswapd
     0.93%     0.00%  kswapd0          [kernel.vmlinux]  [k] kthread
     0.93%     0.00%  kswapd0          [kernel.vmlinux]  [k] ret_from_fork
     0.93%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_node
     0.93%     0.06%  iou-wrk-3244     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.01%  iou-wrk-3243     [kernel.vmlinux]  [k] io_read
     0.93%     0.02%  iou-wrk-3253     [kernel.vmlinux]  [k] io_worker_handle_work
     0.93%     0.00%  iou-wrk-3237     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.01%  swapper          [kernel.vmlinux]  [k] schedule_idle
     0.93%     0.01%  iou-wrk-3262     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.01%  iou-wrk-3239     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.00%  iou-wrk-3237     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3233     [kernel.vmlinux]  [k] io_wq_submit_work
     0.92%     0.00%  iou-wrk-3242     [kernel.vmlinux]  [k] io_wq_submit_work
     0.92%     0.01%  iou-wrk-3237     [kernel.vmlinux]  [k] io_read
     0.92%     0.07%  swapper          [kernel.vmlinux]  [k] __schedule
     0.92%     0.01%  iou-wrk-3233     [kernel.vmlinux]  [k] io_read
     0.92%     0.00%  iou-wrk-3233     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.01%  iou-wrk-3242     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.01%  iou-wrk-3239     [kernel.vmlinux]  [k] io_read
     0.92%     0.01%  iou-wrk-3262     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.01%  iou-wrk-3238     [kernel.vmlinux]  [k] io_worker_handle_work
     0.91%     0.00%  iou-wrk-3232     [kernel.vmlinux]  [k] io_wq_submit_work
     0.91%     0.01%  iou-wrk-3242     [kernel.vmlinux]  [k] io_read
     0.91%     0.05%  iou-wrk-3266     [kernel.vmlinux]  [k] filemap_read
     0.91%     0.00%  iou-wrk-3265     [kernel.vmlinux]  [k] io_wq_submit_work
     0.91%     0.00%  iou-wrk-3265     [kernel.vmlinux]  [k] io_issue_sqe
     0.91%     0.00%  iou-wrk-3232     [kernel.vmlinux]  [k] io_issue_sqe
     0.91%     0.00%  kswapd0          [kernel.vmlinux]  [k] lru_gen_shrink_lruvec
     0.91%     0.00%  kswapd0          [kernel.vmlinux]  [k] shrink_lruvec
     0.91%     0.01%  iou-wrk-3262     [kernel.vmlinux]  [k] io_read
     0.91%     0.00%  iou-wrk-3232     [kernel.vmlinux]  [k] io_read
     0.91%     0.01%  iou-wrk-3265     [kernel.vmlinux]  [k] io_read
     0.91%     0.04%  kswapd0          [kernel.vmlinux]  [k] evict_pages
     0.90%     0.04%  iou-wrk-3250     [kernel.vmlinux]  [k] filemap_read
     0.90%     0.01%  iou-wrk-3261     [kernel.vmlinux]  [k] io_wq_submit_work
     0.90%     0.02%  iou-wrk-3235     [kernel.vmlinux]  [k] io_worker_handle_work
     0.90%     0.00%  iou-wrk-3261     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.00%  iou-wrk-3234     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.00%  iou-wrk-3234     [kernel.vmlinux]  [k] io_wq_submit_work
     0.89%     0.05%  iou-wrk-3247     [kernel.vmlinux]  [k] filemap_read
     0.89%     0.00%  iou-wrk-3261     [kernel.vmlinux]  [k] io_read
     0.89%     0.04%  iou-wrk-3255     [kernel.vmlinux]  [k] filemap_read
     0.89%     0.00%  iou-wrk-3234     [kernel.vmlinux]  [k] io_read
     0.89%     0.04%  iou-wrk-3258     [kernel.vmlinux]  [k] filemap_read
     0.89%     0.01%  iou-wrk-3241     [kernel.vmlinux]  [k] io_worker_handle_work
     0.88%     0.05%  iou-wrk-3249     [kernel.vmlinux]  [k] filemap_read
